label,loc_radius,loc_theta,loc_x,loc_y,loc_z,loc_radius_sph,loc_theta_sph,loc_phi_sph
MEG 2511,1.18,-56.62,0.65,-0.98,0.0,1.18,-56.62,0.0
MEG 2522,1.12,-38.72,0.88,-0.7,0.0,1.12,-38.72,0.0
MEG 2523,1.2,-35.7,0.98,-0.7,0.0,1.2,-35.7,0.0
MEG 2521,1.16,-37.16,0.93,-0.7,0.0,1.16,-37.16,0.0
MEG 2533,1.42,-50.78,0.9,-1.1,0.0,1.42,-50.78,0.0
MEG 2532,1.49,-47.77,1.0,-1.1,0.0,1.49,-47.77,0.0
MEG 2531,1.45,-49.24,0.95,-1.1,0.0,1.45,-49.24,0.0
MEG 2543,1.47,-68.35,0.54,-1.37,0.0,1.47,-68.35,0.0
MEG 2542,1.51,-64.8,0.64,-1.36,0.0,1.51,-64.8,0.0
MEG 2541,1.49,-66.55,0.59,-1.36,0.0,1.49,-66.55,0.0
MEG 2612,1.18,5.87,1.17,0.12,0.0,1.18,5.87,0.0
MEG 2613,1.27,5.45,1.27,0.12,0.0,1.27,5.45,0.0
MEG 2611,1.22,5.65,1.22,0.12,0.0,1.22,5.65,0.0
MEG 2623,1.41,-8.49,1.39,-0.21,0.0,1.4,-8.56,0.0
MEG 2622,1.51,-7.9,1.49,-0.21,0.0,1.5,-7.95,0.0
MEG 2621,1.46,-8.19,1.44,-0.21,0.0,1.45,-8.25,0.0
MEG 2633,1.39,-30.68,1.2,-0.71,0.0,1.39,-30.67,0.0
MEG 2632,1.48,-28.67,1.3,-0.71,0.0,1.48,-28.67,0.0
MEG 2631,1.43,-29.64,1.25,-0.71,0.0,1.43,-29.64,0.0
MEG 2642,1.12,-16.64,1.07,-0.32,0.0,1.12,-16.64,0.0
MEG 2643,1.22,-15.25,1.17,-0.32,0.0,1.21,-15.38,0.0
MEG 2641,1.17,-15.92,1.12,-0.32,0.0,1.16,-16.06,0.0
